target_acc,taxid,Base_Species_TaxID,Species_Name
PDT002066735.1,470,470,Acinetobacter baumannii
PDT001695756.3,470,470,Acinetobacter baumannii
PDT000042048.1,1100846,470,Acinetobacter baumannii
PDT001506289.1,470,470,Acinetobacter baumannii
PDT001648372.3,470,470,Acinetobacter baumannii
PDT001817689.2,470,470,Acinetobacter baumannii
PDT000162451.2,470,470,Acinetobacter baumannii
PDT002179739.1,470,470,Acinetobacter baumannii
PDT000046683.3,470,470,Acinetobacter baumannii
PDT002247565.1,470,470,Acinetobacter baumannii
PDT002111661.1,470,470,Acinetobacter baumannii
PDT000018000.3,1358412,470,Acinetobacter baumannii
PDT001218582.1,470,470,Acinetobacter baumannii
PDT000632521.1,470,470,Acinetobacter baumannii
PDT002264259.1,470,470,Acinetobacter baumannii
PDT002059686.1,470,470,Acinetobacter baumannii
PDT001258901.1,470,470,Acinetobacter baumannii
PDT001287511.1,470,470,Acinetobacter baumannii
PDT001383140.1,470,470,Acinetobacter baumannii
PDT002369342.1,470,470,Acinetobacter baumannii
PDT001664902.3,470,470,Acinetobacter baumannii
PDT001518586.1,470,470,Acinetobacter baumannii
PDT002126410.1,470,470,Acinetobacter baumannii
PDT002038749.1,470,470,Acinetobacter baumannii
PDT001451589.3,470,470,Acinetobacter baumannii
PDT000766410.4,470,470,Acinetobacter baumannii
PDT002154371.1,470,470,Acinetobacter baumannii
PDT001947777.2,470,470,Acinetobacter baumannii
PDT001187971.1,470,470,Acinetobacter baumannii
PDT001792515.1,470,470,Acinetobacter baumannii
PDT002345970.1,470,470,Acinetobacter baumannii
PDT001330358.3,470,470,Acinetobacter baumannii
PDT001843382.1,470,470,Acinetobacter baumannii
PDT001336391.1,470,470,Acinetobacter baumannii
PDT001595055.1,470,470,Acinetobacter baumannii
PDT002175358.1,470,470,Acinetobacter baumannii
PDT001480857.3,470,470,Acinetobacter baumannii
PDT001278518.1,470,470,Acinetobacter baumannii
PDT001707457.3,470,470,Acinetobacter baumannii
PDT000712221.1,470,470,Acinetobacter baumannii
PDT002059901.1,470,470,Acinetobacter baumannii
PDT001610218.1,470,470,Acinetobacter baumannii
PDT001911494.1,470,470,Acinetobacter baumannii
PDT001925707.2,470,470,Acinetobacter baumannii
PDT002036473.1,470,470,Acinetobacter baumannii
PDT001001298.3,470,470,Acinetobacter baumannii
PDT000020339.1,1398980,470,Acinetobacter baumannii
PDT000134713.1,470,470,Acinetobacter baumannii
PDT000417631.1,470,470,Acinetobacter baumannii
PDT000114615.2,470,470,Acinetobacter baumannii
PDT000168504.1,470,470,Acinetobacter baumannii
PDT000866588.1,470,470,Acinetobacter baumannii
PDT000534380.1,470,470,Acinetobacter baumannii
PDT001163968.3,470,470,Acinetobacter baumannii
PDT002237679.1,470,470,Acinetobacter baumannii
PDT002381724.1,470,470,Acinetobacter baumannii
PDT000094962.1,470,470,Acinetobacter baumannii
PDT001825560.2,470,470,Acinetobacter baumannii
PDT002341394.1,470,470,Acinetobacter baumannii
PDT001947775.2,470,470,Acinetobacter baumannii
PDT002086647.1,470,470,Acinetobacter baumannii
PDT000892985.1,470,470,Acinetobacter baumannii
PDT001382776.1,470,470,Acinetobacter baumannii
PDT001957337.1,470,470,Acinetobacter baumannii
PDT001488349.1,470,470,Acinetobacter baumannii
PDT001135664.1,470,470,Acinetobacter baumannii
PDT001602954.1,470,470,Acinetobacter baumannii
PDT002146095.1,470,470,Acinetobacter baumannii
PDT000424117.1,470,470,Acinetobacter baumannii
PDT001505882.1,470,470,Acinetobacter baumannii
PDT001506000.1,470,470,Acinetobacter baumannii
PDT000114318.2,470,470,Acinetobacter baumannii
PDT000892995.1,470,470,Acinetobacter baumannii
PDT000892371.3,470,470,Acinetobacter baumannii
PDT001878180.2,470,470,Acinetobacter baumannii
PDT001538547.1,470,470,Acinetobacter baumannii
PDT000880258.1,470,470,Acinetobacter baumannii
PDT002262615.1,470,470,Acinetobacter baumannii
PDT002107499.1,470,470,Acinetobacter baumannii
PDT000745483.1,470,470,Acinetobacter baumannii
PDT001837131.1,470,470,Acinetobacter baumannii
PDT001306062.3,470,470,Acinetobacter baumannii
PDT001505954.1,470,470,Acinetobacter baumannii
PDT001377779.3,470,470,Acinetobacter baumannii
PDT002342534.1,470,470,Acinetobacter baumannii
PDT001594934.3,470,470,Acinetobacter baumannii
PDT000850604.3,470,470,Acinetobacter baumannii
PDT001151705.3,470,470,Acinetobacter baumannii
PDT000605806.1,470,470,Acinetobacter baumannii
PDT002129609.1,470,470,Acinetobacter baumannii
PDT002083983.1,470,470,Acinetobacter baumannii
PDT001435137.3,470,470,Acinetobacter baumannii
PDT000092872.1,470,470,Acinetobacter baumannii
PDT002240198.1,470,470,Acinetobacter baumannii
PDT001135237.1,470,470,Acinetobacter baumannii
PDT000865848.1,470,470,Acinetobacter baumannii
PDT002330207.1,470,470,Acinetobacter baumannii
PDT001321050.1,470,470,Acinetobacter baumannii
PDT002126297.1,470,470,Acinetobacter baumannii
PDT000114329.2,470,470,Acinetobacter baumannii
PDT002113387.1,470,470,Acinetobacter baumannii
PDT001135227.1,470,470,Acinetobacter baumannii
PDT001953806.2,470,470,Acinetobacter baumannii
PDT001383121.1,470,470,Acinetobacter baumannii
PDT000883210.1,470,470,Acinetobacter baumannii
PDT000882543.1,470,470,Acinetobacter baumannii
PDT000209022.1,470,470,Acinetobacter baumannii
PDT000555550.1,470,470,Acinetobacter baumannii
PDT000216820.1,470,470,Acinetobacter baumannii
PDT000304604.1,470,470,Acinetobacter baumannii
PDT001837140.1,470,470,Acinetobacter baumannii
PDT001686683.1,470,470,Acinetobacter baumannii
PDT001708671.3,470,470,Acinetobacter baumannii
PDT000441526.1,470,470,Acinetobacter baumannii
PDT001436848.1,470,470,Acinetobacter baumannii
PDT000880345.1,470,470,Acinetobacter baumannii
PDT002381736.1,470,470,Acinetobacter baumannii
PDT002059579.1,470,470,Acinetobacter baumannii
PDT000092697.1,470,470,Acinetobacter baumannii
PDT001151735.3,470,470,Acinetobacter baumannii
PDT001963341.2,470,470,Acinetobacter baumannii
PDT001465472.1,470,470,Acinetobacter baumannii
PDT001729121.3,470,470,Acinetobacter baumannii
PDT001820040.1,470,470,Acinetobacter baumannii
PDT000893015.1,470,470,Acinetobacter baumannii
PDT000928435.3,470,470,Acinetobacter baumannii
PDT002059732.1,470,470,Acinetobacter baumannii
PDT002152119.1,470,470,Acinetobacter baumannii
PDT001135377.1,470,470,Acinetobacter baumannii
PDT002162026.1,470,470,Acinetobacter baumannii
PDT001549642.1,470,470,Acinetobacter baumannii
PDT002123089.1,470,470,Acinetobacter baumannii
PDT001739627.2,470,470,Acinetobacter baumannii
PDT001766172.1,470,470,Acinetobacter baumannii
PDT000659806.1,470,470,Acinetobacter baumannii
PDT001191375.1,470,470,Acinetobacter baumannii
PDT001505940.1,470,470,Acinetobacter baumannii
PDT001292516.1,470,470,Acinetobacter baumannii
PDT000837923.1,470,470,Acinetobacter baumannii
PDT001750697.1,470,470,Acinetobacter baumannii
PDT002239549.1,470,470,Acinetobacter baumannii
PDT001464794.3,470,470,Acinetobacter baumannii
PDT001925703.2,470,470,Acinetobacter baumannii
PDT000747279.1,470,470,Acinetobacter baumannii
PDT000011289.2,1221260,470,Acinetobacter baumannii
PDT001580186.1,470,470,Acinetobacter baumannii
PDT001771566.1,470,470,Acinetobacter baumannii
PDT000526421.1,470,470,Acinetobacter baumannii
PDT000092631.1,470,470,Acinetobacter baumannii
PDT002191031.1,470,470,Acinetobacter baumannii
PDT000114219.2,470,470,Acinetobacter baumannii
PDT001163954.3,470,470,Acinetobacter baumannii
PDT001691232.3,470,470,Acinetobacter baumannii
PDT000016443.1,1315181,470,Acinetobacter baumannii
PDT000746003.1,470,470,Acinetobacter baumannii
PDT000968697.3,470,470,Acinetobacter baumannii
PDT000750220.1,470,470,Acinetobacter baumannii
PDT002126960.1,470,470,Acinetobacter baumannii
PDT000837968.1,470,470,Acinetobacter baumannii
PDT001231267.1,470,470,Acinetobacter baumannii
PDT001898905.1,470,470,Acinetobacter baumannii
PDT001235941.1,470,470,Acinetobacter baumannii
PDT001383229.1,470,470,Acinetobacter baumannii
PDT002152152.1,470,470,Acinetobacter baumannii
PDT002025932.1,470,470,Acinetobacter baumannii
PDT002247354.1,470,470,Acinetobacter baumannii
PDT001222682.3,470,470,Acinetobacter baumannii
PDT001273770.3,470,470,Acinetobacter baumannii
PDT002072467.1,470,470,Acinetobacter baumannii
PDT002247477.1,470,470,Acinetobacter baumannii
PDT000510401.1,470,470,Acinetobacter baumannii
PDT000662290.1,470,470,Acinetobacter baumannii
PDT002094347.1,470,470,Acinetobacter baumannii
PDT000659802.1,470,470,Acinetobacter baumannii
PDT002121898.1,470,470,Acinetobacter baumannii
PDT001771561.1,470,470,Acinetobacter baumannii
PDT000534490.1,470,470,Acinetobacter baumannii
PDT002316131.1,470,470,Acinetobacter baumannii
PDT002113352.1,470,470,Acinetobacter baumannii
PDT000827040.1,470,470,Acinetobacter baumannii
PDT002345977.1,470,470,Acinetobacter baumannii
PDT001653210.3,470,470,Acinetobacter baumannii
PDT002294596.1,470,470,Acinetobacter baumannii
PDT002079972.1,470,470,Acinetobacter baumannii
PDT002230538.1,470,470,Acinetobacter baumannii
PDT000526495.1,470,470,Acinetobacter baumannii
PDT001825580.2,470,470,Acinetobacter baumannii
