scientific_name,erd_group,target_acc
Staphylococcus aureus,PDS000068469.4,PDT000361377.2
Staphylococcus aureus,PDS000068558.4,PDT001712188.1
Staphylococcus aureus,PDS000068795.1,PDT000343166.2
Staphylococcus aureus,PDS000069217.2,PDT001005932.1
Staphylococcus aureus,PDS000150877.3,PDT001793029.1
Staphylococcus aureus,PDS000069053.21,PDT001492299.1
Staphylococcus aureus,PDS000092053.10,PDT001077428.1
Staphylococcus aureus,PDS000126540.12,PDT001791596.2
Staphylococcus aureus,PDS000199435.1,PDT002391816.1
Staphylococcus aureus,PDS000199440.1,PDT002391752.1
Staphylococcus aureus,PDS000199442.1,PDT002391854.1
Staphylococcus aureus,PDS000199445.1,PDT002391600.1
Staphylococcus aureus,PDS000068596.2,PDT000813916.1
Staphylococcus aureus,PDS000069214.5,PDT001646791.1
Staphylococcus aureus,PDS000092046.3,PDT001077328.1
Staphylococcus aureus,PDS000199436.1,PDT002391812.1
Staphylococcus aureus,PDS000199439.1,PDT002391628.1
Staphylococcus aureus,PDS000069561.2,PDT000766267.2
Staphylococcus aureus,PDS000069989.1,PDT000339902.2
Staphylococcus aureus,PDS000092024.1,PDT001077331.1
Staphylococcus aureus,PDS000135103.2,PDT001597401.1
Staphylococcus aureus,PDS000199438.1,PDT002391746.1
Staphylococcus aureus,PDS000199443.1,PDT002391842.1
Staphylococcus aureus,PDS000199444.1,PDT002391701.1
Staphylococcus aureus,PDS000199437.1,PDT002391717.1
Staphylococcus aureus,PDS000199441.1,PDT002391598.1
Staphylococcus aureus,PDS000069818.25,PDT001501911.1
Staphylococcus aureus,PDS000069218.2,PDT000800520.2
Staphylococcus aureus,PDS000067983.41,PDT001517050.1
Staphylococcus aureus,PDS000199434.1,PDT002391714.1
Staphylococcus aureus,PDS000068809.5,PDT001509820.1
Staphylococcus aureus,PDS000068842.2,PDT000361387.2
Staphylococcus aureus,PDS000189016.1,PDT001077352.1
Staphylococcus aureus,PDS000199432.1,PDT002391731.1
Staphylococcus aureus,PDS000199433.1,PDT002391676.1
Staphylococcus aureus,PDS000069219.1,PDT000800513.2
Staphylococcus aureus,PDS000068702.1,PDT000371230.2
Staphylococcus aureus,PDS000068698.1,PDT000371243.2
Staphylococcus aureus,PDS000068630.1,PDT000371466.2
Staphylococcus aureus,PDS000143582.1,PDT001707208.1
Staphylococcus aureus,PDS000136030.1,PDT001586049.1
Staphylococcus aureus,PDS000136769.1,PDT001617012.1
Staphylococcus aureus,PDS000144556.1,PDT001715188.1
Staphylococcus aureus,PDS000144300.1,PDT001714943.1
Staphylococcus aureus,PDS000144247.1,PDT001711682.1
Staphylococcus aureus,PDS000144524.1,PDT001714485.1
Staphylococcus aureus,PDS000144292.1,PDT001715469.1
Staphylococcus aureus,PDS000144512.1,PDT000132677.2
Staphylococcus aureus,PDS000144128.1,PDT001711579.1
Staphylococcus aureus,PDS000144130.1,PDT001711708.1
Staphylococcus aureus,PDS000144204.1,PDT001711825.1
Staphylococcus aureus,PDS000144093.1,PDT001714284.1
Staphylococcus aureus,PDS000144281.1,PDT001711710.1
Staphylococcus aureus,PDS000144177.1,PDT001714155.1
Staphylococcus aureus,PDS000144488.1,PDT001711957.1
Staphylococcus aureus,PDS000144485.1,PDT001712139.1
Staphylococcus aureus,PDS000144443.1,PDT001715406.1
Staphylococcus aureus,PDS000144421.1,PDT001711608.1
Staphylococcus aureus,PDS000144480.1,PDT001714515.1
Staphylococcus aureus,PDS000144246.1,PDT001713389.1
Staphylococcus aureus,PDS000144234.1,PDT001714327.1
Staphylococcus aureus,PDS000144171.1,PDT001715273.1
Staphylococcus aureus,PDS000068750.3,PDT001670203.1
Staphylococcus aureus,PDS000130751.1,PDT001547762.1
Staphylococcus aureus,PDS000069198.1,PDT000080330.2
Staphylococcus aureus,PDS000134415.4,PDT001546393.1
Staphylococcus aureus,PDS000129967.1,PDT001545895.1
Staphylococcus aureus,PDS000068537.1,PDT000164685.2
Staphylococcus aureus,PDS000068982.1,PDT000164681.2
Staphylococcus aureus,PDS000068315.1,PDT000164666.2
Staphylococcus aureus,PDS000069281.1,PDT000078989.2
Staphylococcus aureus,PDS000128502.1,PDT001532508.1
Staphylococcus aureus,PDS000128648.1,PDT001532797.1
Staphylococcus aureus,PDS000068379.2,PDT001532503.1
Staphylococcus aureus,PDS000068509.2,PDT001532332.1
Staphylococcus aureus,PDS000128455.1,PDT001532247.1
Staphylococcus aureus,PDS000129942.1,PDT001546136.1
Staphylococcus aureus,PDS000130061.1,PDT001548015.1
Staphylococcus aureus,PDS000069405.11,PDT001712869.1
Staphylococcus aureus,PDS000170979.2,PDT002041595.1
Staphylococcus aureus,PDS000131979.2,PDT002041540.1
Staphylococcus aureus,PDS000069237.1,PDT000090535.2
Staphylococcus aureus,PDS000069244.3,PDT000079582.2
Staphylococcus aureus,PDS000068593.1,PDT000079229.2
Staphylococcus aureus,PDS000068916.1,PDT000090564.2
Staphylococcus aureus,PDS000133352.2,PDT001579129.1
Staphylococcus aureus,PDS000133316.2,PDT001579068.1
Staphylococcus aureus,PDS000143015.1,PDT001700390.1
Staphylococcus aureus,PDS000068808.1,PDT000343069.2
Staphylococcus aureus,PDS000129758.5,PDT001544397.1
Staphylococcus aureus,PDS000068790.2,PDT001553553.1
Staphylococcus aureus,PDS000129840.1,PDT001543816.1
Staphylococcus aureus,PDS000129557.1,PDT001541299.1
Staphylococcus aureus,PDS000135604.2,PDT001541394.1
Staphylococcus aureus,PDS000130513.2,PDT001552922.1
Staphylococcus aureus,PDS000070000.7,PDT000118306.2
Staphylococcus aureus,PDS000130544.1,PDT001553881.1
Staphylococcus aureus,PDS000130547.1,PDT001554360.1
Staphylococcus aureus,PDS000130563.1,PDT001554632.1
Staphylococcus aureus,PDS000130607.1,PDT001555158.1
Staphylococcus aureus,PDS000069436.8,PDT001511410.1
Staphylococcus aureus,PDS000130605.2,PDT001555086.1
Staphylococcus aureus,PDS000130645.1,PDT001553612.1
Staphylococcus aureus,PDS000130675.3,PDT001510311.1
Staphylococcus aureus,PDS000126521.4,PDT002033274.1
Staphylococcus aureus,PDS000130460.1,PDT001553504.1
Staphylococcus aureus,PDS000130681.1,PDT001553053.1
Staphylococcus aureus,PDS000130539.3,PDT001554331.1
Staphylococcus aureus,PDS000130583.1,PDT001554231.1
Staphylococcus aureus,PDS000130496.1,PDT001554638.1
Staphylococcus aureus,PDS000130597.1,PDT001553759.1
Staphylococcus aureus,PDS000130479.1,PDT001555030.1
Staphylococcus aureus,PDS000130680.1,PDT001554315.1
Staphylococcus aureus,PDS000137815.5,PDT001556207.1
Staphylococcus aureus,PDS000132151.1,PDT001568979.1
Staphylococcus aureus,PDS000137789.1,PDT001646358.1
Staphylococcus aureus,PDS000137850.1,PDT001541460.1
Staphylococcus aureus,PDS000069795.2,PDT000676020.2
Staphylococcus aureus,PDS000069798.2,PDT000681631.2
Staphylococcus aureus,PDS000069819.2,PDT000669995.2
Staphylococcus aureus,PDS000069807.2,PDT001452584.1
Staphylococcus aureus,PDS000069796.1,PDT000681830.2
Staphylococcus aureus,PDS000077104.2,PDT000907812.1
Staphylococcus aureus,PDS000127131.4,PDT001688721.1
Staphylococcus aureus,PDS000129775.2,PDT001544347.1
Staphylococcus aureus,PDS000132116.1,PDT001527776.1
Staphylococcus aureus,PDS000132123.1,PDT001527837.1
Staphylococcus aureus,PDS000069185.2,PDT000037665.2
Staphylococcus aureus,PDS000129479.1,PDT001540787.1
Staphylococcus aureus,PDS000129553.1,PDT001540842.1
Staphylococcus aureus,PDS000129514.1,PDT001540835.1
Staphylococcus aureus,PDS000130778.1,PDT001556210.1
Staphylococcus aureus,PDS000134873.1,PDT001595535.1
Staphylococcus aureus,PDS000126309.1,PDT001506871.1
Staphylococcus aureus,PDS000126288.1,PDT001506739.1
Staphylococcus aureus,PDS000126340.1,PDT001506744.1
Staphylococcus aureus,PDS000126275.11,PDT001523497.1
Staphylococcus aureus,PDS000067988.5,PDT001506745.1
Staphylococcus aureus,PDS000070379.1,PDT000822250.1
Staphylococcus aureus,PDS000070375.1,PDT000822316.1
Staphylococcus aureus,PDS000068001.3,PDT000810837.1
Staphylococcus aureus,PDS000067941.1,PDT000810696.1
Staphylococcus aureus,PDS000067803.1,PDT000811144.1
Staphylococcus aureus,PDS000067933.1,PDT000812383.1
Staphylococcus aureus,PDS000067818.3,PDT000811210.1
Staphylococcus aureus,PDS000068025.1,PDT000810434.1
Staphylococcus aureus,PDS000067830.1,PDT000810673.1
Staphylococcus aureus,PDS000067826.1,PDT000812095.1
Staphylococcus aureus,PDS000067921.2,PDT000810667.1
Staphylococcus aureus,PDS000067944.2,PDT000812067.1
Staphylococcus aureus,PDS000135375.1,PDT001601113.1
Staphylococcus aureus,PDS000129605.1,PDT001543441.1
Staphylococcus aureus,PDS000179867.4,PDT002233496.1
Staphylococcus aureus,PDS000111287.1,PDT001329027.1
Staphylococcus aureus,PDS000143264.1,PDT001701081.1
Staphylococcus aureus,PDS000132450.1,PDT001572511.1
Staphylococcus aureus,PDS000120967.3,PDT001717993.1
Staphylococcus aureus,PDS000120971.2,PDT001454648.1
Staphylococcus aureus,PDS000127669.2,PDT001524762.1
Staphylococcus aureus,PDS000140374.1,PDT001669456.1
Staphylococcus aureus,PDS000140380.1,PDT001669453.1
Staphylococcus aureus,PDS000140319.1,PDT001669715.1
Staphylococcus aureus,PDS000180446.1,PDT002131555.1
Staphylococcus aureus,PDS000180459.1,PDT002131559.1
Staphylococcus aureus,PDS000173529.1,PDT002073623.1
Staphylococcus aureus,PDS000175068.5,PDT001543985.1
Staphylococcus aureus,PDS000069649.27,PDT002099923.1
Staphylococcus aureus,PDS000069105.2,PDT001712045.1
Staphylococcus aureus,PDS000141646.1,PDT001685327.1
Staphylococcus aureus,PDS000128198.1,PDT001529093.1
Staphylococcus aureus,PDS000128212.1,PDT001529031.1
Staphylococcus aureus,PDS000128217.1,PDT001528920.1
Staphylococcus aureus,PDS000069326.1,PDT000791077.2
Staphylococcus aureus,PDS000069473.1,PDT000772446.2
Staphylococcus aureus,PDS000069352.4,PDT000791027.2
Staphylococcus aureus,PDS000069394.1,PDT000790496.2
Staphylococcus aureus,PDS000069353.1,PDT000790931.2
Staphylococcus aureus,PDS000130009.1,PDT001548527.1
Staphylococcus aureus,PDS000130039.1,PDT001547297.1
Staphylococcus aureus,PDS000069341.2,PDT000791024.2
Staphylococcus aureus,PDS000129359.3,PDT001540512.1
Staphylococcus aureus,PDS000093092.2,PDT001544764.1
Staphylococcus aureus,PDS000135837.1,PDT001606503.1
Staphylococcus aureus,PDS000130989.1,PDT001557075.1
Staphylococcus aureus,PDS000136763.4,PDT002088796.1
Staphylococcus aureus,PDS000134237.1,PDT001589686.1
Staphylococcus aureus,PDS000127853.1,PDT001526019.1
Staphylococcus aureus,PDS000127868.1,PDT001526051.1
Staphylococcus aureus,PDS000133195.1,PDT001574173.1
Staphylococcus aureus,PDS000127818.2,PDT001574285.1
Staphylococcus aureus,PDS000133239.1,PDT001573929.1
Staphylococcus aureus,PDS000127820.2,PDT001574044.1
Staphylococcus aureus,PDS000133208.1,PDT001574255.1
Staphylococcus aureus,PDS000068914.1,PDT000284316.2
Staphylococcus aureus,PDS000135469.1,PDT000284466.2
Staphylococcus aureus,PDS000141867.2,PDT001688718.1
Staphylococcus aureus,PDS000129169.4,PDT001539303.1
Staphylococcus aureus,PDS000143866.1,PDT001710228.1
Staphylococcus aureus,PDS000143865.1,PDT001710796.1
Staphylococcus aureus,PDS000143885.1,PDT001710660.1
Staphylococcus aureus,PDS000143919.1,PDT001710304.1
Staphylococcus aureus,PDS000143917.1,PDT001710791.1
Staphylococcus aureus,PDS000143837.1,PDT001710437.1
Staphylococcus aureus,PDS000133368.1,PDT001579356.1
Staphylococcus aureus,PDS000134453.1,PDT001590767.1
Staphylococcus aureus,PDS000111907.1,PDT001337387.1
Staphylococcus aureus,PDS000111830.1,PDT001337671.1
Staphylococcus aureus,PDS000111788.1,PDT001337701.1
Staphylococcus aureus,PDS000111903.1,PDT001337438.1
Staphylococcus aureus,PDS000111905.1,PDT001337407.1
Staphylococcus aureus,PDS000111790.1,PDT001337338.1
Staphylococcus aureus,PDS000111834.1,PDT001337738.1
Staphylococcus aureus,PDS000111895.1,PDT001337389.1
Staphylococcus aureus,PDS000135389.1,PDT001600499.1
Staphylococcus aureus,PDS000075454.1,PDT000879029.1
Staphylococcus aureus,PDS000100028.1,PDT001191995.1
Staphylococcus aureus,PDS000122226.2,PDT000885920.1
Staphylococcus aureus,PDS000122314.1,PDT000887641.1
Staphylococcus aureus,PDS000135461.1,PDT001600570.1
Staphylococcus aureus,PDS000126502.5,PDT001510116.2
Staphylococcus aureus,PDS000126506.3,PDT002033410.1
Staphylococcus aureus,PDS000126961.1,PDT001509927.1
Staphylococcus aureus,PDS000170321.1,PDT001509785.1
Staphylococcus aureus,PDS000135086.2,PDT001598003.1
Staphylococcus aureus,PDS000127572.1,PDT001523828.1
Staphylococcus aureus,PDS000127566.1,PDT001523821.1
Staphylococcus aureus,PDS000127549.1,PDT001523686.1
Staphylococcus aureus,PDS000175924.2,PDT000805256.2
Staphylococcus aureus,PDS000108718.31,PDT001528198.1
Staphylococcus aureus,PDS000132455.2,PDT001572586.1
Staphylococcus aureus,PDS000135036.1,PDT001596661.1
Staphylococcus aureus,PDS000085236.1,PDT001013989.1
Staphylococcus aureus,PDS000130941.1,PDT001557308.1
Staphylococcus aureus,PDS000130243.1,PDT001549998.1
Staphylococcus aureus,PDS000130264.1,PDT001549987.1
Staphylococcus aureus,PDS000130212.1,PDT001550187.1
Staphylococcus aureus,PDS000091496.3,PDT001071375.1
Staphylococcus aureus,PDS000129799.1,PDT001544799.1
Staphylococcus aureus,PDS000092649.1,PDT001086083.1
Staphylococcus aureus,PDS000092644.1,PDT001086073.1
Staphylococcus aureus,PDS000142421.1,PDT001694370.1
Staphylococcus aureus,PDS000129425.1,PDT001539764.1
Staphylococcus aureus,PDS000129382.1,PDT001540021.1
Staphylococcus aureus,PDS000129370.1,PDT001539975.1
Staphylococcus aureus,PDS000144312.3,PDT001541227.1
Staphylococcus aureus,PDS000153821.1,PDT001824866.1
Staphylococcus aureus,PDS000131242.1,PDT001559354.1
Staphylococcus aureus,PDS000129488.3,PDT001648679.1
Staphylococcus aureus,PDS000165807.1,PDT001976226.1
Staphylococcus aureus,PDS000165966.1,PDT001977133.1
Staphylococcus aureus,PDS000165917.1,PDT001976284.1
Staphylococcus aureus,PDS000165801.1,PDT001975902.1
Staphylococcus aureus,PDS000165782.1,PDT001976252.1
Staphylococcus aureus,PDS000165781.1,PDT001976705.1
Staphylococcus aureus,PDS000165868.1,PDT001976530.1
Staphylococcus aureus,PDS000165834.1,PDT001977277.1
Staphylococcus aureus,PDS000165832.1,PDT001976651.1
Staphylococcus aureus,PDS000165894.1,PDT001977318.1
Staphylococcus aureus,PDS000140333.1,PDT001669860.1
Staphylococcus aureus,PDS000170269.1,PDT002031982.1
Staphylococcus aureus,PDS000154162.2,PDT002032514.1
