scientific_name,erd_group,target_acc,asm_acc
Acinetobacter baumannii,PDS000199353.2,PDT002313758.1,
Acinetobacter baumannii,PDS000195228.9,PDT000890538.2,GCA_015356165.1
Acinetobacter baumannii,PDS000074250.15,PDT000868603.3,GCA_016475965.3
Acinetobacter baumannii,PDS000199039.1,PDT001163976.3,GCA_020678445.3
Acinetobacter baumannii,PDS000174647.69,PDT002066739.1,GCA_036249585.1
Acinetobacter baumannii,PDS000075641.12,PDT001242734.3,GCA_022107935.3
Acinetobacter baumannii,PDS000178653.15,PDT000766435.4,
Acinetobacter baumannii,PDS000175366.78,PDT001044769.3,GCA_018454745.3
Acinetobacter baumannii,PDS000198643.3,PDT001278728.3,GCA_022915695.3
Acinetobacter baumannii,PDS000126134.19,PDT002134776.1,GCA_038035845.1
Acinetobacter baumannii,PDS000084878.135,PDT002078431.1,GCA_036629155.1
Acinetobacter baumannii,PDS000198649.4,PDT001442354.3,GCA_025579825.3
Acinetobacter baumannii,PDS000075639.65,PDT002130214.1,GCA_037955965.1
Acinetobacter baumannii,PDS000083245.33,PDT002097977.1,GCA_037009485.1
Acinetobacter baumannii,PDS000075983.196,PDT001707429.3,GCA_031135825.2
Acinetobacter baumannii,PDS000005658.32,PDT001253203.4,
Acinetobacter baumannii,PDS000126125.2,PDT001505507.1,
Acinetobacter baumannii,PDS000199357.2,PDT002391650.1,
Acinetobacter baumannii,PDS000075026.55,PDT000766417.4,
Acinetobacter baumannii,PDS000153810.5,PDT002086212.1,GCA_036860735.1
Acinetobacter baumannii,PDS000199354.1,PDT001874251.1,GCA_031156425.1
Acinetobacter baumannii,PDS000199356.1,PDT002391679.1,
Acinetobacter baumannii,PDS000055419.1,PDT000659811.1,GCA_016501185.1
Acinetobacter baumannii,PDS000076298.87,PDT001280867.3,GCA_022876825.3
Acinetobacter baumannii,PDS000195227.1,PDT001974657.1,GCA_033446815.1
Acinetobacter baumannii,PDS000073952.11,PDT001201013.1,
Acinetobacter baumannii,PDS000047375.29,PDT001336381.1,GCA_024024135.1
Acinetobacter baumannii,PDS000053770.6,PDT002126598.1,
Acinetobacter baumannii,PDS000055405.23,PDT000659771.1,GCA_016504375.1
Acinetobacter baumannii,PDS000153170.38,PDT000632562.1,
Acinetobacter baumannii,PDS000039600.1,PDT000424131.1,GCA_016511805.1
Acinetobacter baumannii,PDS000055409.5,PDT001231427.1,GCA_021573235.1
Acinetobacter baumannii,PDS000066891.47,PDT002129611.1,GCA_037931885.1
Acinetobacter baumannii,PDS000101051.9,PDT000943813.1,
Acinetobacter baumannii,PDS000053886.1,PDT000633836.1,
Acinetobacter baumannii,PDS000026064.27,PDT001292513.1,GCA_023005585.1
Acinetobacter baumannii,PDS000053776.5,PDT000746302.1,
Acinetobacter baumannii,PDS000047400.6,PDT000884944.1,
Acinetobacter baumannii,PDS000122207.2,PDT001191791.2,
Acinetobacter baumannii,PDS000122283.1,PDT000887225.1,
Acinetobacter baumannii,PDS000122284.1,PDT000887553.1,
Acinetobacter baumannii,PDS000043345.60,PDT001898713.1,GCA_031877905.1
Acinetobacter baumannii,PDS000085004.3,PDT001010857.1,
Acinetobacter baumannii,PDS000179985.7,PDT001469601.1,GCA_025897535.1
Acinetobacter baumannii,PDS000132235.34,PDT001469702.1,GCA_025896415.1
Acinetobacter baumannii,PDS000078259.11,PDT001441473.1,GCA_918849845.1
Acinetobacter baumannii,PDS000169732.1,PDT001493000.1,GCA_026358575.1
Acinetobacter baumannii,PDS000159915.2,PDT001898916.1,GCA_031875485.1
Acinetobacter baumannii,PDS000199352.1,PDT002059798.1,GCA_958321055.1
Acinetobacter baumannii,PDS000173762.1,PDT002059649.1,GCA_958318205.1
Acinetobacter baumannii,PDS000192481.4,PDT002314341.1,
Acinetobacter baumannii,PDS000047423.40,PDT001391188.3,GCA_024963425.3
Acinetobacter baumannii,PDS000108731.77,PDT002123085.1,GCA_037663335.1
Acinetobacter baumannii,PDS000097170.61,PDT001881640.2,
Acinetobacter baumannii,PDS000098632.28,PDT001377739.3,GCA_024560365.3
Acinetobacter baumannii,PDS000047356.69,PDT002086649.1,GCA_036877065.1
Acinetobacter baumannii,PDS000101624.93,PDT002135097.1,
Acinetobacter baumannii,PDS000097999.88,PDT001115037.1,GCA_019732875.1
Acinetobacter baumannii,PDS000131686.99,PDT001946902.2,GCA_032852465.2
Acinetobacter baumannii,PDS000100745.18,PDT001226518.3,GCA_021525455.3
Acinetobacter baumannii,PDS000139864.4,PDT001435633.1,GCA_025406935.1
Acinetobacter baumannii,PDS000062502.95,PDT001170234.3,GCA_020781315.3
Acinetobacter baumannii,PDS000148753.77,PDT001519450.3,GCA_031138195.2
Acinetobacter baumannii,PDS000121117.6,PDT001463205.3,GCA_025807315.3
Acinetobacter baumannii,PDS000085140.29,PDT001091037.3,GCA_019271835.3
Acinetobacter baumannii,PDS000097775.8,PDT001157484.5,GCA_020606015.3
Acinetobacter baumannii,PDS000106839.25,PDT002328714.1,GCA_041350535.1
Acinetobacter baumannii,PDS000149897.3,PDT001739644.2,GCA_031151835.2
Acinetobacter baumannii,PDS000076706.98,PDT001352963.3,GCA_024164645.3
Acinetobacter baumannii,PDS000070277.42,PDT001988243.1,GCA_028051805.3
Acinetobacter baumannii,PDS000005399.24,PDT000354460.1,GCA_900496665.1
Acinetobacter baumannii,PDS000097136.53,PDT001787774.2,GCA_031115195.2
Acinetobacter baumannii,PDS000073962.33,PDT001739914.2,GCA_031149845.2
Acinetobacter baumannii,PDS000084236.40,PDT001001304.3,GCA_017836395.3
Acinetobacter baumannii,PDS000114531.20,PDT001373660.3,GCA_024484005.3
Acinetobacter baumannii,PDS000156121.23,PDT000733216.3,GCA_016489855.3
Acinetobacter baumannii,PDS000075027.75,PDT002084569.1,GCA_036810895.1
Acinetobacter baumannii,PDS000055380.20,PDT001159518.3,GCA_020569105.3
Acinetobacter baumannii,PDS000047378.39,PDT002113374.1,GCA_037171385.1
Acinetobacter baumannii,PDS000129746.14,PDT001616165.3,GCA_028645835.3
Acinetobacter baumannii,PDS000188188.6,PDT002152009.1,
Acinetobacter baumannii,PDS000170122.30,PDT000893764.3,GCA_016473515.3
Acinetobacter baumannii,PDS000005692.5,PDT000896216.1,GCA_015627285.1
Acinetobacter baumannii,PDS000005657.4,PDT000092627.1,GCA_001414575.1
Acinetobacter baumannii,PDS000060521.4,PDT000714811.1,
Acinetobacter baumannii,PDS000005666.16,PDT000113700.2,GCA_016527715.2
Acinetobacter baumannii,PDS000005759.5,PDT000534486.1,GCA_006494075.1
Acinetobacter baumannii,PDS000008585.1,PDT000156216.1,GCA_001864235.1
Acinetobacter baumannii,PDS000005659.25,PDT000046781.3,GCA_000811585.3
Acinetobacter baumannii,PDS000005684.39,PDT000046645.3,GCA_000808785.3
Acinetobacter baumannii,PDS000054241.24,PDT000642523.1,GCA_009736805.1
Acinetobacter baumannii,PDS000047417.20,PDT001135449.1,GCA_020102715.1
Acinetobacter baumannii,PDS000047351.27,PDT001426519.1,GCA_025246545.1
Acinetobacter baumannii,PDS000198647.1,PDT000751304.1,GCA_016486625.1
Acinetobacter baumannii,PDS000164549.1,PDT001961370.1,GCA_033103035.1
Acinetobacter baumannii,PDS000073956.22,PDT002151981.1,
Acinetobacter baumannii,PDS000025707.12,PDT000659477.1,
Acinetobacter baumannii,PDS000076245.2,PDT000892980.1,GCA_015536875.1
Acinetobacter baumannii,PDS000063578.1,PDT000751421.1,GCA_016485365.1
Acinetobacter baumannii,PDS000084719.16,PDT001834975.1,GCA_030552555.1
Acinetobacter baumannii,PDS000005671.92,PDT001382794.1,GCA_024589435.1
Acinetobacter baumannii,PDS000101316.1,PDT001205150.1,GCA_021174295.1
Acinetobacter baumannii,PDS000006829.24,PDT000863712.1,GCA_014883045.1
Acinetobacter baumannii,PDS000199038.1,PDT001957336.1,GCA_033129725.1
Acinetobacter baumannii,PDS000096196.7,PDT001135326.1,GCA_020104755.1
Acinetobacter baumannii,PDS000188196.1,PDT001135471.1,GCA_020109355.1
Acinetobacter baumannii,PDS000060516.2,PDT001602992.1,GCA_028439905.1
Acinetobacter baumannii,PDS000109744.1,PDT001310047.1,GCA_023361175.1
Acinetobacter baumannii,PDS000115303.1,PDT001383205.1,GCA_024616965.1
Acinetobacter baumannii,PDS000115299.1,PDT001382992.1,GCA_024634205.1
Acinetobacter baumannii,PDS000114534.3,PDT001371153.1,GCA_024480245.1
Acinetobacter baumannii,PDS000151171.1,PDT001795782.1,GCA_030377605.1
Acinetobacter baumannii,PDS000195226.2,PDT000046284.1,GCA_000804715.1
Acinetobacter baumannii,PDS000095935.9,PDT001593154.1,
Acinetobacter baumannii,PDS000114538.2,PDT001371141.1,GCA_024482625.1
Acinetobacter baumannii,PDS000157703.1,PDT001873320.1,GCA_031182285.1
Acinetobacter baumannii,PDS000126119.1,PDT001506246.1,GCA_026558595.1
Acinetobacter baumannii,PDS000179760.2,PDT002331065.1,GCA_041357455.1
Acinetobacter baumannii,PDS000153376.1,PDT001820044.1,GCA_030484655.1
Acinetobacter baumannii,PDS000157915.6,PDT002247256.1,GCA_040595325.1
Acinetobacter baumannii,PDS000179239.3,PDT000356858.1,GCA_003352495.1
Acinetobacter baumannii,PDS000097381.29,PDT001707459.3,GCA_031145905.2
Acinetobacter baumannii,PDS000150946.4,PDT001374667.3,GCA_024571325.3
Acinetobacter baumannii,PDS000156506.4,PDT001860319.1,GCA_030850805.1
Acinetobacter baumannii,PDS000150937.5,PDT002152141.1,
Acinetobacter baumannii,PDS000187644.1,PDT002152136.1,
Acinetobacter baumannii,PDS000120224.7,PDT002152079.1,
Acinetobacter baumannii,PDS000076292.64,PDT001505871.1,GCA_026566035.1
Acinetobacter baumannii,PDS000164431.2,PDT001957253.1,GCA_033131515.1
Acinetobacter baumannii,PDS000121878.18,PDT001231325.1,GCA_021571155.1
Acinetobacter baumannii,PDS000005007.12,PDT000114345.2,GCA_016523025.2
Acinetobacter baumannii,PDS000186710.1,PDT002230509.1,GCA_040301425.1
Acinetobacter baumannii,PDS000120624.40,PDT001609606.3,GCA_028547795.3
Acinetobacter baumannii,PDS000126157.6,PDT001505925.1,GCA_026564945.1
Acinetobacter baumannii,PDS000140986.3,PDT001673426.1,GCA_029540965.1
Acinetobacter baumannii,PDS000005000.29,PDT001200255.1,GCA_021139675.1
Acinetobacter baumannii,PDS000005669.13,PDT000045329.2,GCA_000794125.2
Acinetobacter baumannii,PDS000005864.10,PDT000114669.2,GCA_016521395.2
