scientific_name,erd_group,target_acc,asm_acc
Klebsiella pneumoniae,PDS000040355.45,PDT002333206.1,GCA_041400845.1
Klebsiella pneumoniae,PDS000015678.225,PDT002156989.1,
Klebsiella pneumoniae,PDS000045585.47,PDT000068038.1,GCA_001032545.1
Klebsiella pneumoniae,PDS000188960.4,PDT002325557.1,GCA_041343175.1
Klebsiella pneumoniae,PDS000123673.63,PDT001876177.2,GCA_031212845.2
Klebsiella pneumoniae,PDS000173925.4,PDT002198835.1,GCA_040115625.1
Klebsiella pneumoniae,PDS000194754.3,PDT002390128.1,GCA_042146865.1
Klebsiella pneumoniae,PDS000080190.5,PDT000947383.1,GCA_022019955.1
Klebsiella pneumoniae,PDS000182309.5,PDT002389784.1,GCA_042134645.1
Klebsiella pneumoniae,PDS000072539.2,PDT000370594.1,GCA_900507795.1
Klebsiella pneumoniae,PDS000129327.26,PDT002391362.1,
Klebsiella pneumoniae,PDS000106614.5,PDT001551548.1,GCA_027908515.1
Klebsiella pneumoniae,PDS000156049.10,PDT002383610.1,
Klebsiella pneumoniae,PDS000129112.10,PDT001769473.1,GCA_947574935.1
Klebsiella pneumoniae,PDS000136743.8,PDT002097571.1,
Klebsiella pneumoniae,PDS000199415.1,PDT001377136.1,GCA_024499785.1
Klebsiella pneumoniae,PDS000060649.2,PDT002391452.1,
Klebsiella pneumoniae,PDS000041735.6,PDT002391509.1,
Klebsiella pneumoniae,PDS000060651.17,PDT001364055.1,
Klebsiella pneumoniae,PDS000199426.1,PDT002391482.1,
Klebsiella pneumoniae,PDS000199430.1,PDT002391458.1,
Klebsiella pneumoniae,PDS000199428.1,PDT002391462.1,
Klebsiella pneumoniae,PDS000045324.13,PDT000370690.1,GCA_900508885.1
Klebsiella pneumoniae,PDS000085592.10,PDT001019316.3,GCA_021971055.3
Klebsiella pneumoniae,PDS000090167.11,PDT001216482.1,GCA_021837925.1
Klebsiella pneumoniae,PDS000199427.1,PDT001769393.1,GCA_947574945.1
Klebsiella pneumoniae,PDS000199457.1,PDT002391867.1,
Klebsiella pneumoniae,PDS000020092.11,PDT000633744.1,
Klebsiella pneumoniae,PDS000140731.15,PDT002204548.1,GCA_040179365.1
Klebsiella pneumoniae,PDS000149360.37,PDT001935593.1,GCA_032696545.1
Klebsiella pneumoniae,PDS000199296.1,PDT002390510.1,GCA_042178925.1
Klebsiella pneumoniae,PDS000045407.1,PDT000181474.2,GCA_001970175.2
Klebsiella pneumoniae,PDS000106697.6,PDT002391376.1,
Klebsiella pneumoniae,PDS000199422.1,PDT002391365.1,
Klebsiella pneumoniae,PDS000199431.1,PDT002391385.1,
Klebsiella pneumoniae,PDS000091501.144,PDT001876161.2,GCA_031213165.2
Klebsiella pneumoniae,PDS000141297.15,PDT001663414.3,GCA_029276125.3
Klebsiella pneumoniae,PDS000041726.21,PDT000876180.1,GCA_022061705.1
Klebsiella pneumoniae,PDS000199420.1,PDT002391478.1,
