scientific_name,erd_group,target_acc,Sample_Name
Acinetobacter baumannii,PDS000126146.1,PDT001505758.1,PDT001505758_1
Acinetobacter baumannii,PDS000103018.2,PDT001225601.1,PDT001225601_1
Acinetobacter baumannii,PDS000187626.1,PDT002152144.1,PDT002152144_1
Acinetobacter baumannii,PDS000155979.1,PDT001852468.1,PDT001852468_1
Acinetobacter baumannii,PDS000142106.1,PDT001693185.1,PDT001693185_1
Acinetobacter baumannii,PDS000012942.3,PDT000115296.2,PDT000115296_2
Acinetobacter baumannii,PDS000121464.1,PDT001465495.1,PDT001465495_1
Acinetobacter baumannii,PDS000158389.3,PDT001882396.2,PDT001882396_2
Acinetobacter baumannii,PDS000126143.1,PDT001505979.1,PDT001505979_1
Acinetobacter baumannii,PDS000099007.1,PDT001178525.1,PDT001178525_1
Acinetobacter baumannii,PDS000198647.1,PDT001283660.1,PDT001283660_1
Acinetobacter baumannii,PDS000101058.1,PDT001200524.1,PDT001200524_1
Acinetobacter baumannii,PDS000180941.2,PDT002139499.1,PDT002139499_1
Acinetobacter baumannii,PDS000159902.1,PDT001898865.1,PDT001898865_1
Acinetobacter baumannii,PDS000167230.3,PDT001994808.1,PDT001994808_1
Acinetobacter baumannii,PDS000153808.4,PDT001825567.2,PDT001825567_2
Acinetobacter baumannii,PDS000173765.1,PDT002059757.1,PDT002059757_1
Acinetobacter baumannii,PDS000148753.77,PDT001274841.3,PDT001274841_3
Acinetobacter baumannii,PDS000173774.2,PDT002059748.1,PDT002059748_1
Acinetobacter baumannii,PDS000091359.5,PDT001001273.3,PDT001001273_3
Acinetobacter baumannii,PDS000037586.1,PDT000173752.3,PDT000173752_3
Acinetobacter baumannii,PDS000047431.1,PDT000191294.1,PDT000191294_1
Acinetobacter baumannii,PDS000159897.1,PDT001898724.1,PDT001898724_1
Acinetobacter baumannii,PDS000042989.1,PDT000463736.1,PDT000463736_1
Acinetobacter baumannii,PDS000109574.13,PDT001779490.2,PDT001779490_2
Acinetobacter baumannii,PDS000060439.2,PDT001044091.1,PDT001044091_1
Acinetobacter baumannii,PDS000084876.1,PDT000751255.1,PDT000751255_1
Acinetobacter baumannii,PDS000092888.1,PDT000113788.2,PDT000113788_2
Acinetobacter baumannii,PDS000098647.5,PDT001173440.3,PDT001173440_3
Acinetobacter baumannii,PDS000121883.4,PDT001473324.1,PDT001473324_1
Acinetobacter baumannii,PDS000092886.1,PDT000114678.2,PDT000114678_2
Acinetobacter baumannii,PDS000053134.5,PDT000929040.1,PDT000929040_1
Acinetobacter baumannii,PDS000187656.1,PDT002152104.1,PDT002152104_1
Acinetobacter baumannii,PDS000053135.3,PDT000929051.1,PDT000929051_1
Acinetobacter baumannii,PDS000159903.1,PDT001898711.1,PDT001898711_1
Acinetobacter baumannii,PDS000148400.1,PDT001771526.1,PDT001771526_1
Acinetobacter baumannii,PDS000131686.99,PDT001164067.3,PDT001164067_3
Acinetobacter baumannii,PDS000126111.6,PDT001505718.1,PDT001505718_1
Acinetobacter baumannii,PDS000039208.1,PDT000417673.1,PDT000417673_1
Acinetobacter baumannii,PDS000103958.7,PDT001852421.1,PDT001852421_1
Acinetobacter baumannii,PDS000091267.3,PDT000807458.1,PDT000807458_1
Acinetobacter baumannii,PDS000047424.2,PDT000418815.1,PDT000418815_1
Acinetobacter baumannii,PDS000155079.1,PDT001065600.1,PDT001065600_1
Acinetobacter baumannii,PDS000005652.12,PDT000113141.2,PDT000113141_2
Acinetobacter baumannii,PDS000126163.2,PDT000156212.1,PDT000156212_1
Acinetobacter baumannii,PDS000047420.9,PDT000093852.1,PDT000093852_1
Acinetobacter baumannii,PDS000189906.1,PDT002277472.1,PDT002277472_1
Acinetobacter baumannii,PDS000115082.1,PDT001382803.1,PDT001382803_1
Acinetobacter baumannii,PDS000156504.2,PDT001860345.1,PDT001860345_1
Acinetobacter baumannii,PDS000048186.4,PDT000545935.1,PDT000545935_1
Acinetobacter baumannii,PDS000121868.1,PDT001292485.1,PDT001292485_1
Acinetobacter baumannii,PDS000199198.1,PDT002387668.1,PDT002387668_1
Acinetobacter baumannii,PDS000114533.1,PDT001365958.1,PDT001365958_1
Acinetobacter baumannii,PDS000085141.12,PDT001583658.3,PDT001583658_3
Acinetobacter baumannii,PDS000047366.1,PDT000092647.1,PDT000092647_1
Acinetobacter baumannii,PDS000119670.5,PDT001436851.1,PDT001436851_1
Acinetobacter baumannii,PDS000124909.1,PDT001493696.1,PDT001493696_1
Acinetobacter baumannii,PDS000075983.196,PDT002129724.1,PDT002129724_1
Acinetobacter baumannii,PDS000115303.1,PDT001383205.1,PDT001383205_1
Acinetobacter baumannii,PDS000179761.1,PDT002125176.1,PDT002125176_1
Acinetobacter baumannii,PDS000173762.1,PDT002059771.1,PDT002059771_1
Acinetobacter baumannii,PDS000153811.1,PDT001825569.2,PDT001825569_2
Acinetobacter baumannii,PDS000092807.1,PDT000175769.2,PDT000175769_2
Acinetobacter baumannii,PDS000114713.34,PDT001739891.2,PDT001739891_2
Acinetobacter baumannii,PDS000171204.1,PDT002045035.1,PDT002045035_1
Acinetobacter baumannii,PDS000120624.40,PDT001264611.3,PDT001264611_3
Acinetobacter baumannii,PDS000063238.1,PDT000745895.1,PDT000745895_1
Acinetobacter baumannii,PDS000181816.1,PDT002156357.1,PDT002156357_1
Acinetobacter baumannii,PDS000055443.1,PDT000660190.1,PDT000660190_1
Acinetobacter baumannii,PDS000076244.3,PDT000893040.1,PDT000893040_1
Acinetobacter baumannii,PDS000119573.1,PDT001435579.1,PDT001435579_1
Acinetobacter baumannii,PDS000012811.1,PDT000209092.1,PDT000209092_1
Acinetobacter baumannii,PDS000047383.11,PDT000354485.1,PDT000354485_1
Acinetobacter baumannii,PDS000115593.5,PDT001852477.1,PDT001852477_1
Acinetobacter baumannii,PDS000047408.3,PDT000135591.1,PDT000135591_1
Acinetobacter baumannii,PDS000134358.2,PDT001604487.1,PDT001604487_1
Acinetobacter baumannii,PDS000172261.1,PDT002056814.1,PDT002056814_1
Acinetobacter baumannii,PDS000118097.5,PDT000901843.3,PDT000901843_3
Acinetobacter baumannii,PDS000188197.1,PDT001595043.1,PDT001595043_1
Acinetobacter baumannii,PDS000195224.2,PDT001957043.1,PDT001957043_1
Acinetobacter baumannii,PDS000100318.1,PDT001194545.1,PDT001194545_1
Acinetobacter baumannii,PDS000182950.1,PDT001476180.1,PDT001476180_1
Acinetobacter baumannii,PDS000062331.4,PDT000729663.1,PDT000729663_1
Acinetobacter baumannii,PDS000126164.1,PDT001506283.1,PDT001506283_1
Acinetobacter baumannii,PDS000181265.1,PDT002145443.1,PDT002145443_1
Acinetobacter baumannii,PDS000103479.1,PDT001231261.1,PDT001231261_1
Acinetobacter baumannii,PDS000005651.72,PDT001352867.3,PDT001352867_3
Acinetobacter baumannii,PDS000090291.5,PDT001046087.3,PDT001046087_3
Acinetobacter baumannii,PDS000047396.2,PDT000659344.1,PDT000659344_1
Acinetobacter baumannii,PDS000005675.20,PDT000534380.1,PDT000534380_1
Acinetobacter baumannii,PDS000047417.20,PDT001135595.1,PDT001135595_1
Acinetobacter baumannii,PDS000134814.3,PDT001349599.1,PDT001349599_1
Acinetobacter baumannii,PDS000140248.1,PDT001671978.1,PDT001671978_1
Acinetobacter baumannii,PDS000129747.9,PDT001398093.3,PDT001398093_3
Acinetobacter baumannii,PDS000107408.41,PDT001618638.3,PDT001618638_3
Acinetobacter baumannii,PDS000101052.1,PDT001200304.1,PDT001200304_1
Acinetobacter baumannii,PDS000061263.2,PDT002389089.1,PDT002389089_1
Acinetobacter baumannii,PDS000117134.1,PDT001010876.1,PDT001010876_1
Acinetobacter baumannii,PDS000054246.1,PDT000642558.1,PDT000642558_1
Acinetobacter baumannii,PDS000188191.1,PDT002230531.1,PDT002230531_1
Acinetobacter baumannii,PDS000091266.3,PDT001065573.1,PDT001065573_1
Acinetobacter baumannii,PDS000150586.4,PDT001248844.3,PDT001248844_3
Acinetobacter baumannii,PDS000009521.3,PDT000348979.1,PDT000348979_1
Acinetobacter baumannii,PDS000149336.16,PDT001947961.2,PDT001947961_2
Acinetobacter baumannii,PDS000124779.1,PDT001491408.1,PDT001491408_1
Acinetobacter baumannii,PDS000155981.1,PDT001852442.1,PDT001852442_1
Acinetobacter baumannii,PDS000055389.27,PDT001436849.1,PDT001436849_1
Acinetobacter baumannii,PDS000114879.12,PDT002094437.1,PDT002094437_1
Acinetobacter baumannii,PDS000107229.2,PDT000714781.1,PDT000714781_1
Acinetobacter baumannii,PDS000019485.3,PDT000304611.1,PDT000304611_1
Acinetobacter baumannii,PDS000180264.1,PDT002036509.1,PDT002036509_1
Acinetobacter baumannii,PDS000090162.1,PDT001044095.1,PDT001044095_1
Acinetobacter baumannii,PDS000159916.1,PDT001898752.1,PDT001898752_1
Acinetobacter baumannii,PDS000174650.1,PDT002085668.1,PDT002085668_1
Acinetobacter baumannii,PDS000142339.1,PDT001695701.1,PDT001695701_1
Acinetobacter baumannii,PDS000084719.16,PDT001016875.1,PDT001016875_1
Acinetobacter baumannii,PDS000097136.53,PDT001151705.3,PDT001151705_3
Acinetobacter baumannii,PDS000061264.2,PDT001502937.1,PDT001502937_1
